"filename", "language", "Java", "comment", "blank", "total"
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/controller/DiscussionController.java", "Java", 31, 0, 8, 39
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/controller/SubmitController.java", "Java", 18, 0, 2, 20
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/controller/TagController.java", "Java", 23, 0, 4, 27
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/controller/UserController.java", "Java", 5, 0, 1, 6
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/entity/Discussion.java", "Java", 14, 0, 3, 17
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/entity/DiscussionAndTagAndPictureAndUser.java", "Java", 14, 0, 4, 18
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/entity/Prediction.java", "Java", 10, 0, 3, 13
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/mapper/DiscussionMapper.java", "Java", 25, 0, 11, 36
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/service/DiscussionService.java", "Java", 63, 0, 16, 79
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/service/SubmitService.java", "Java", 28, 0, 2, 30
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/service/TagService.java", "Java", 53, 0, 5, 58
"/home/mdd/文档/fxs毕设/backend/demo/src/main/java/com/example/demo/service/UserService.java", "Java", 3, 0, 1, 4
"Total", "-", 287, 0, 60, 347